11-22K,"校招-测试开发工程师
上海
11-22K
在校/应届本科
李先生HRBP",上海
12-24K·14薪,"算法工程师
深圳·光明区·公明
12-24K·14薪
在校/应届硕士
卜先生电生理参数技术经理",深圳·光明区·公明
20-40K·16薪,"21届 校招 general list
广州·南沙区·横沥
20-40K·16薪
在校/应届本科
肖先生HR Manager",广州·南沙区·横沥
13-22K,"单板硬件工程师
北京
13-22K
在校/应届硕士
赵先生技术负责人",北京
15-30K·14薪,"C＋＋开发
南京
15-30K·14薪
在校/应届本科
殷先生招聘经理",南京
15-30K,"游戏开发工程师
上海
15-30K
在校/应届本科
张女士HRBP",上海
15-30K·14薪,"固件安全研究员
广州·越秀区·天河北
15-30K·14薪
在校/应届本科
何先生安全技术研究院执行院长",广州·越秀区·天河北
25-50K·14薪,"密码算法研究员
北京·大兴区·亦庄
25-50K·14薪
在校/应届博士
李先生开发经理",北京·大兴区·亦庄
12-22K·14薪,"C++研发工程师
广州·天河区·珠江新城
12-22K·14薪
在校/应届本科
冯女士招聘主管",广州·天河区·珠江新城
25-35K·16薪,"3D数字人、3D数字场方向算法工程师
北京·朝阳区·望京
25-35K·16薪
在校/应届硕士
陈先生算法专家",北京·朝阳区·望京
15-21K,"电机工程师
北京·昌平区·回龙观
15-21K
在校/应届硕士
石先生校园招聘经理",北京·昌平区·回龙观
1000-2000元/天,"22届阿里国际化AliExpress测试开发实习生
杭州·余杭区·五常
1000-2000元/天
5天/周3个月硕士
钱女士开发测试专家",杭州·余杭区·五常
20-25K,"后端开发工程师
成都·武侯区·新会展中心
20-25K
在校/应届学历不限
殷女士HR",成都·武侯区·新会展中心
11-22K,"前端开发工程师（校招）
上海·浦东新区·张江
11-22K
在校/应届本科
葛女士招聘者",上海·浦东新区·张江
13-25K·14薪,"软件测试工程师
西安·雁塔区·高新软件园
13-25K·14薪
在校/应届本科
薛女士招聘HR",西安·雁塔区·高新软件园
